                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                 0.5236,                0.81775,                0.96451,                0.64811,                0.68333,                0.87814,                0.66469,                 1.3149,                 1.3625,                 1.2547,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                 0.6882,                0.94058,                 1.1261,                0.64811,                0.68333,                0.87814,                0.66469,                 1.3149,                 1.3625,                 1.2547,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 1.0077,                 1.3488,                 1.4724,                0.97764,                0.51986,                0.88163,                0.66542,                 1.3358,                 1.3921,                 1.2706,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 0.8756,                0.96787,                  1.348,                0.97764,                0.51986,                0.88163,                0.66542,                 1.3358,                 1.3921,                 1.2706,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                0.63747,                0.59345,                 1.1411,                0.97361,                0.51982,                0.88023,                 0.6659,                 1.3494,                 1.4206,                 1.2785,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                0.59119,                0.79009,                 1.0734,                0.97361,                0.51982,                0.88023,                 0.6659,                 1.3494,                 1.4206,                 1.2785,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                0.72064,                0.88865,                 1.0934,                 0.8684,                0.56996,                0.88013,                0.66641,                 1.3747,                 1.4732,                 1.2921,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                0.56448,                0.62519,                 1.1182,                 0.8684,                0.56996,                0.88013,                0.66641,                 1.3747,                 1.4732,                 1.2921,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                0.69357,                 1.1046,                 1.2475,                0.87318,                0.56865,                0.88357,                0.66687,                 1.3698,                 1.4636,                  1.289,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.66834,                0.56549,                0.99044,                0.87318,                0.56865,                0.88357,                0.66687,                 1.3698,                 1.4636,                  1.289,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 0.8377,                 1.0458,                 1.4213,                0.88038,                0.56048,                0.87963,                0.66396,                 1.3912,                 1.4855,                 1.2951,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.88372,                0.95692,                 1.2015,                0.88038,                0.56048,                0.87963,                0.66396,                 1.3912,                 1.4855,                 1.2951,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                0.57027,                0.86113,                 1.1493,                0.91375,                0.56344,                0.78944,                0.58553,                  1.405,                 1.5104,                 1.2975,             2.9198e-05,             2.9198e-05,             2.9198e-05
